year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,carrier_delay,weather_delay,scheduled_departure_time,actual_departure_time,scheduled_arrival_time,actual_arrival_time,flight_status
2020,12,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",381.0,43.0,6.09,1.33,23.77,216.0,100.0,01:58,02:18,04:00,04:18,on-time
2020,12,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",88.0,14.0,6.16,0.0,5.82,291.0,0.0,01:39,01:55,03:18,03:33,on-time
2020,12,9E,Endeavor Air Inc.,DAL,"Dallas, TX: Dallas Love Field",39.0,6.0,0.09,0.0,3.76,5.0,0.0,20:05,20:24,21:27,21:43,on-time
2020,12,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",176.0,17.0,4.89,0.0,7.54,257.0,0.0,16:31,16:50,18:03,18:18,on-time
2020,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",37.0,1.0,0.0,0.0,0.13,0.0,0.0,18:17,18:33,19:55,20:14,delayed
2020,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",83.0,8.0,1.5,0.0,5.4,134.0,0.0,22:01,22:18,00:00,00:17,on-time
2020,12,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",101.0,10.0,4.79,0.0,0.63,244.0,0.0,13:55,14:11,15:25,15:43,on-time
2020,12,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",122.0,11.0,5.94,0.0,4.02,398.0,0.0,09:49,10:04,12:03,12:21,on-time
2020,12,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",232.0,28.0,8.05,3.63,10.58,565.0,2631.0,23:53,00:09,01:55,02:14,on-time
2020,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2312.0,197.0,53.67,1.92,60.81,8216.0,196.0,13:32,13:48,15:31,15:46,on-time
2020,12,9E,Endeavor Air Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",39.0,5.0,1.96,0.0,1.5,82.0,0.0,22:17,22:37,00:05,00:22,on-time
2020,12,9E,Endeavor Air Inc.,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",52.0,5.0,2.55,0.0,2.45,62.0,0.0,23:17,23:37,00:52,01:12,on-time
2020,12,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",143.0,6.0,2.92,0.0,2.64,137.0,0.0,21:13,21:29,23:13,23:33,on-time
2020,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",175.0,23.0,12.71,1.9,8.15,1216.0,131.0,12:52,13:09,14:50,15:05,on-time
2020,12,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",91.0,8.0,4.0,0.0,4.0,137.0,0.0,15:48,16:05,17:31,17:50,on-time
2020,12,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",112.0,5.0,3.05,0.0,0.0,88.0,0.0,11:12,11:27,13:07,13:22,on-time
2020,12,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",53.0,5.0,1.96,0.0,3.0,417.0,0.0,01:08,01:23,03:03,03:23,on-time
2020,12,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",123.0,15.0,3.69,0.0,7.53,89.0,0.0,14:06,14:25,15:46,16:03,on-time
2020,12,9E,Endeavor Air Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",83.0,7.0,3.64,0.0,1.4,151.0,0.0,05:16,05:32,07:24,07:42,on-time
2020,12,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",14.0,3.0,1.85,0.0,0.0,174.0,0.0,09:50,10:07,11:37,11:53,on-time
2020,12,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",115.0,8.0,4.19,0.0,2.0,255.0,0.0,01:53,02:13,03:55,04:10,on-time
2020,12,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",142.0,8.0,3.51,0.0,1.67,152.0,0.0,16:35,16:53,18:32,18:51,on-time
2020,12,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",218.0,20.0,9.62,0.0,6.78,557.0,0.0,07:18,07:37,09:20,09:35,on-time
2020,12,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",203.0,23.0,7.05,1.0,11.98,358.0,29.0,11:49,12:05,13:55,14:15,on-time
2020,12,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",184.0,8.0,4.4,0.0,1.48,133.0,0.0,08:28,08:43,10:12,10:29,on-time
2020,12,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",54.0,10.0,8.12,0.0,1.13,985.0,0.0,22:56,23:12,00:55,01:15,on-time
2020,12,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",86.0,7.0,6.99,0.0,0.01,367.0,0.0,21:59,22:18,23:46,00:01,on-time
2020,12,9E,Endeavor Air Inc.,HOU,"Houston, TX: William P Hobby",148.0,21.0,6.2,0.0,13.98,210.0,0.0,16:41,16:56,18:51,19:09,on-time
2020,12,9E,Endeavor Air Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",174.0,4.0,2.88,0.19,0.13,70.0,4.0,05:21,05:37,07:05,07:24,on-time
2020,12,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",12.0,1.0,1.0,0.0,0.0,44.0,0.0,18:28,18:46,20:42,21:01,delayed
2020,12,9E,Endeavor Air Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",120.0,9.0,2.68,0.0,5.32,87.0,0.0,20:25,20:44,21:58,22:18,on-time
2020,12,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",116.0,4.0,2.21,0.0,0.68,55.0,0.0,14:08,14:27,16:00,16:20,on-time
2020,12,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",110.0,6.0,0.25,0.0,4.54,6.0,0.0,19:19,19:36,21:16,21:33,on-time
2020,12,9E,Endeavor Air Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",144.0,5.0,4.63,0.0,0.0,192.0,0.0,05:55,06:15,07:15,07:32,on-time
2020,12,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",29.0,3.0,1.68,0.0,1.25,250.0,0.0,16:35,16:55,18:51,19:06,on-time
2020,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",269.0,31.0,9.92,1.27,12.77,715.0,64.0,03:31,03:51,05:12,05:29,on-time
2020,12,9E,Endeavor Air Inc.,LAN,"Lansing, MI: Capital Region International",51.0,9.0,1.77,0.0,5.85,94.0,0.0,16:15,16:35,18:26,18:46,on-time
2020,12,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",179.0,14.0,6.36,0.0,4.3,417.0,0.0,10:02,10:18,11:53,12:10,on-time
2020,12,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",130.0,3.0,1.69,0.0,1.11,45.0,0.0,10:07,10:23,11:59,12:15,on-time
2020,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",55.0,5.0,1.0,0.68,3.08,32.0,61.0,04:26,04:44,06:32,06:49,on-time
2020,12,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",114.0,10.0,7.54,0.43,1.03,269.0,23.0,23:12,23:32,00:44,01:04,on-time
2020,12,9E,Endeavor Air Inc.,MBS,"Saginaw/Bay City/Midland, MI: MBS International",90.0,15.0,4.59,0.0,9.03,841.0,0.0,02:08,02:26,03:32,03:48,on-time
2020,12,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",16.0,0.0,0.0,0.0,0.0,0.0,0.0,04:54,05:11,06:32,06:49,on-time
2020,12,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",62.0,7.0,4.77,0.0,0.86,588.0,0.0,17:54,18:14,19:40,19:56,on-time
2020,12,9E,Endeavor Air Inc.,MDT,"Harrisburg, PA: Harrisburg International",149.0,10.0,0.93,0.0,4.99,34.0,0.0,14:20,14:38,16:19,16:39,on-time
2020,12,9E,Endeavor Air Inc.,MEM,"Memphis, TN: Memphis International",118.0,17.0,9.7,0.0,7.02,554.0,0.0,04:19,04:34,06:13,06:33,on-time
2020,12,9E,Endeavor Air Inc.,MGM,"Montgomery, AL: Montgomery Regional",122.0,14.0,10.75,0.0,2.25,1962.0,0.0,20:57,21:15,22:49,23:09,on-time
2020,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",4.0,0.0,0.0,0.0,0.0,0.0,0.0,01:31,01:49,03:25,03:43,on-time
2020,12,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",16.0,3.0,1.0,0.0,2.0,16.0,0.0,07:49,08:05,10:05,10:24,on-time
2020,12,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad City International",60.0,4.0,1.37,0.0,2.0,104.0,0.0,22:17,22:35,23:46,00:01,on-time
2020,12,9E,Endeavor Air Inc.,MLU,"Monroe, LA: Monroe Regional",87.0,6.0,5.56,0.0,0.4,244.0,0.0,07:08,07:28,09:13,09:32,on-time
2020,12,9E,Endeavor Air Inc.,MOB,"Mobile, AL: Mobile Regional",119.0,8.0,7.07,0.0,0.32,234.0,0.0,14:48,15:05,16:11,16:31,on-time
2020,12,9E,Endeavor Air Inc.,MOT,"Minot, ND: Minot International",145.0,23.0,9.33,0.0,10.23,736.0,0.0,02:36,02:51,03:59,04:18,on-time
2020,12,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",180.0,13.0,3.0,0.0,5.15,180.0,0.0,09:58,10:15,12:12,12:27,on-time
2020,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2244.0,217.0,52.01,13.97,78.34,8074.0,2922.0,17:23,17:40,18:47,19:04,on-time
2020,12,9E,Endeavor Air Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",1.0,0.0,0.0,0.0,0.0,0.0,0.0,10:20,10:35,11:39,11:58,on-time
2020,12,9E,Endeavor Air Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",119.0,6.0,3.0,0.0,3.0,335.0,0.0,07:44,08:00,09:13,09:33,on-time
2020,12,9E,Endeavor Air Inc.,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",113.0,5.0,1.75,0.97,0.4,52.0,562.0,16:19,16:38,18:29,18:48,on-time
2020,12,9E,Endeavor Air Inc.,OKC,"Oklahoma City, OK: Will Rogers World",99.0,10.0,5.81,0.0,3.06,403.0,0.0,16:24,16:44,18:10,18:25,on-time
2020,12,9E,Endeavor Air Inc.,OMA,"Omaha, NE: Eppley Airfield",135.0,18.0,5.21,0.0,9.88,327.0,0.0,06:10,06:29,08:01,08:21,on-time
2020,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",72.0,4.0,0.0,0.0,4.0,0.0,0.0,14:22,14:40,16:25,16:43,on-time
2020,12,9E,Endeavor Air Inc.,ORF,"Norfolk, VA: Norfolk International",90.0,13.0,5.23,0.0,6.81,310.0,0.0,05:27,05:45,07:28,07:43,on-time
2020,12,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",158.0,19.0,4.63,0.01,10.44,405.0,1.0,04:00,04:16,05:55,06:12,on-time
2020,12,9E,Endeavor Air Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",11.0,3.0,1.0,0.0,0.03,46.0,0.0,16:18,16:38,17:51,18:11,on-time
2020,12,9E,Endeavor Air Inc.,RAP,"Rapid City, SD: Rapid City Regional",12.0,2.0,0.0,0.0,1.47,0.0,0.0,03:08,03:28,05:26,05:42,on-time
2020,12,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",315.0,42.0,15.78,0.0,15.59,1359.0,0.0,04:44,05:01,06:38,06:53,on-time
2020,12,9E,Endeavor Air Inc.,RIC,"Richmond, VA: Richmond International",16.0,1.0,0.88,0.0,0.12,44.0,0.0,13:28,13:44,15:19,15:38,delayed
2020,12,9E,Endeavor Air Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",83.0,4.0,3.0,1.0,0.0,71.0,136.0,03:43,03:59,05:19,05:35,on-time
2020,12,9E,Endeavor Air Inc.,ROC,"Rochester, NY: Greater Rochester International",121.0,18.0,4.61,1.22,9.52,193.0,140.0,00:27,00:47,02:08,02:23,on-time
2020,12,9E,Endeavor Air Inc.,RST,"Rochester, MN: Rochester International",118.0,14.0,5.18,0.0,6.96,895.0,0.0,13:19,13:34,15:02,15:20,on-time
2020,12,9E,Endeavor Air Inc.,RSW,"Fort Myers, FL: Southwest Florida International",3.0,3.0,0.0,0.52,1.48,0.0,62.0,10:19,10:39,12:14,12:31,on-time
2020,12,9E,Endeavor Air Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",89.0,11.0,2.71,0.28,5.24,115.0,22.0,12:32,12:48,13:58,14:18,on-time
2020,12,9E,Endeavor Air Inc.,SBN,"South Bend, IN: South Bend International",84.0,3.0,1.69,0.0,1.0,63.0,0.0,10:58,11:14,12:48,13:07,on-time
2020,12,9E,Endeavor Air Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",31.0,3.0,0.9,0.0,2.1,60.0,0.0,13:27,13:44,15:11,15:29,on-time
2020,12,9E,Endeavor Air Inc.,SGF,"Springfield, MO: Springfield-Branson National",91.0,3.0,0.0,0.0,2.21,0.0,0.0,13:59,14:17,15:41,16:01,on-time
2020,12,9E,Endeavor Air Inc.,SHV,"Shreveport, LA: Shreveport Regional",114.0,7.0,3.05,0.0,2.3,64.0,0.0,00:07,00:24,02:16,02:34,on-time
2020,12,9E,Endeavor Air Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",14.0,2.0,0.0,0.0,2.0,0.0,0.0,11:30,11:45,12:50,13:08,on-time
2020,12,9E,Endeavor Air Inc.,STL,"St. Louis, MO: St Louis Lambert International",124.0,18.0,1.76,0.0,13.72,85.0,0.0,05:35,05:53,07:43,08:00,on-time
2020,12,9E,Endeavor Air Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",114.0,12.0,4.13,0.12,6.87,334.0,5.0,21:36,21:54,23:50,00:10,on-time
2020,12,9E,Endeavor Air Inc.,TLH,"Tallahassee, FL: Tallahassee International",61.0,1.0,0.78,0.0,0.22,18.0,0.0,22:13,22:28,00:23,00:39,delayed
2020,12,9E,Endeavor Air Inc.,TPA,"Tampa, FL: Tampa International",28.0,4.0,1.56,0.0,1.54,75.0,0.0,23:03,23:20,00:27,00:42,on-time
2020,12,9E,Endeavor Air Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",123.0,9.0,5.04,1.0,0.32,299.0,51.0,21:09,21:26,23:17,23:36,on-time
2020,12,9E,Endeavor Air Inc.,TUL,"Tulsa, OK: Tulsa International",87.0,5.0,1.88,0.0,2.2,86.0,0.0,14:13,14:32,15:34,15:50,on-time
2020,12,9E,Endeavor Air Inc.,TYS,"Knoxville, TN: McGhee Tyson",265.0,21.0,11.76,1.21,5.21,474.0,88.0,04:16,04:35,05:37,05:53,on-time
2020,12,9E,Endeavor Air Inc.,VLD,"Valdosta, GA: Valdosta Regional",91.0,6.0,1.81,0.0,2.96,33.0,0.0,01:32,01:51,03:20,03:35,on-time
2020,12,9E,Endeavor Air Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",82.0,4.0,2.67,0.0,0.33,130.0,0.0,15:02,15:20,16:49,17:08,on-time
2020,12,9E,Endeavor Air Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",111.0,4.0,1.79,1.0,1.0,84.0,42.0,07:57,08:13,10:00,10:17,on-time
2020,12,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",31.0,6.0,3.06,0.0,1.35,88.0,0.0,06:03,06:23,08:10,08:27,on-time
2020,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",373.0,35.0,21.15,0.0,8.1,1404.0,0.0,14:57,15:13,16:16,16:35,on-time
2020,12,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",380.0,48.0,18.17,0.4,21.56,675.0,10.0,04:56,05:15,06:37,06:55,on-time
2020,12,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",100.0,10.0,3.15,0.0,4.9,106.0,0.0,15:38,15:53,17:21,17:36,on-time
2020,12,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",319.0,31.0,15.35,0.27,12.76,963.0,13.0,13:21,13:38,14:44,15:04,on-time
2020,12,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",50.0,10.0,3.89,0.0,3.12,238.0,0.0,10:34,10:54,12:04,12:23,on-time
2020,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",711.0,72.0,27.9,8.74,26.48,1079.0,3241.0,08:56,09:13,10:29,10:46,on-time
2020,12,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",2.0,0.0,0.0,0.0,0.0,0.0,0.0,19:55,20:15,21:23,21:42,on-time
2020,12,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope",29.0,6.0,3.46,0.0,1.09,87.0,0.0,00:40,00:55,02:50,03:06,on-time
2020,12,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",240.0,28.0,12.76,0.0,10.08,1220.0,0.0,12:14,12:30,13:31,13:47,on-time
2020,12,AA,American Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",51.0,14.0,5.07,0.0,6.52,114.0,0.0,23:58,00:18,01:40,02:00,on-time
2020,12,AA,American Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",73.0,14.0,5.42,0.0,3.37,411.0,0.0,01:08,01:27,02:39,02:56,on-time
2020,12,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",130.0,29.0,12.45,0.0,11.56,578.0,0.0,16:34,16:50,18:07,18:27,on-time
2020,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",5008.0,388.0,151.42,9.87,146.03,13168.0,3377.0,05:47,06:04,07:27,07:42,on-time
2020,12,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",132.0,21.0,8.35,0.76,7.16,393.0,16.0,09:15,09:30,10:30,10:46,on-time
2020,12,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",85.0,22.0,10.72,0.0,6.55,1002.0,0.0,17:33,17:50,19:39,19:54,on-time
2020,12,AA,American Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",39.0,3.0,2.0,0.0,0.07,195.0,0.0,16:19,16:39,18:36,18:54,on-time
2020,12,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",788.0,54.0,23.92,1.39,16.93,1106.0,110.0,09:31,09:50,11:25,11:40,on-time
2020,12,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",588.0,82.0,36.97,1.41,32.87,1698.0,89.0,22:08,22:27,23:41,00:01,on-time
2020,12,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7959.0,1178.0,279.77,29.74,626.41,28264.0,4729.0,21:09,21:29,22:46,23:04,on-time
2020,12,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",146.0,23.0,9.07,0.53,7.27,482.0,10.0,06:47,07:06,08:45,09:01,on-time
2020,12,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",109.0,26.0,3.66,0.35,16.5,138.0,36.0,11:22,11:38,13:35,13:54,on-time
2020,12,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",40.0,4.0,3.51,0.0,0.24,115.0,0.0,10:08,10:27,12:07,12:23,on-time
2020,12,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",267.0,19.0,11.28,1.0,3.61,792.0,573.0,18:33,18:48,20:03,20:22,on-time
2020,12,AA,American Airlines Inc.,EYW,"Key West, FL: Key West International",88.0,11.0,6.69,0.0,2.85,319.0,0.0,06:46,07:04,08:39,08:56,on-time
2020,12,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",79.0,11.0,3.3,0.17,4.5,87.0,3.0,19:42,20:02,21:50,22:07,on-time
2020,12,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",478.0,53.0,24.77,0.33,20.54,1118.0,13.0,17:47,18:03,19:47,20:04,on-time
2020,12,AA,American Airlines Inc.,GEG,"Spokane, WA: Spokane International",119.0,20.0,9.54,0.0,6.87,783.0,0.0,17:15,17:35,18:55,19:13,on-time
2020,12,AA,American Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",63.0,4.0,0.06,0.0,1.64,4.0,0.0,16:21,16:37,18:30,18:49,on-time
2020,12,AA,American Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",44.0,4.0,2.8,0.0,1.12,88.0,0.0,15:09,15:27,17:23,17:41,on-time
2020,12,AA,American Airlines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",12.0,3.0,2.63,0.0,0.37,72.0,0.0,13:58,14:13,16:05,16:23,on-time
2020,12,AA,American Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",26.0,6.0,1.0,0.0,5.0,34.0,0.0,07:18,07:36,09:07,09:25,on-time
